CA_COUNTY,D_YEAR,WEB_Q1_Q2_INCREASE,STORE_Q1_Q2_INCREASE,WEB_Q2_Q3_INCREASE,STORE_Q2_Q3_INCREASE
McKenzie County,2001,0.98506287,0.98142283,1.77714413,1.76718493
Mecosta County,2001,0.99772242,0.98244412,1.78978550,1.78696445
San Jacinto County,2001,0.99921722,0.99033260,1.79476625,1.79003723
Gregory County,2001,0.99510498,0.98599118,1.79622857,1.79302805
Morrill County,2001,1.03304231,1.00727525,1.79639945,1.78415328
Wolfe County,2001,1.00870608,1.00837265,1.79744892,1.76506286
Vermilion Parish,2001,1.00030604,0.99127484,1.80258270,1.77454408
Goliad County,2001,1.01835025,0.99843657,1.80324498,1.79926856
Ziebach County,2001,1.02235708,0.94790645,1.80356967,1.80260062
Hampton city,2001,1.03044357,0.98434531,1.80568635,1.78991838
Hubbard County,2001,1.00372251,0.99446150,1.80929542,1.80781560
Amelia County,2001,1.01205506,0.97442719,1.81087235,1.80931042
Huerfano County,2001,1.01846070,0.99458052,1.81367833,1.80206519
Harding County,2001,1.00894956,0.99926156,1.81522505,1.80100052
McKinley County,2001,0.99232479,0.98936889,1.81694103,1.79672257
Guthrie County,2001,0.98732592,0.98290925,1.81788503,1.80711523
Sacramento County,2001,1.00295860,0.99544651,1.82047834,1.80571827
Kootenai County,2001,1.02217933,1.00709113,1.82088330,1.80066029
Tift County,2001,0.98793316,0.96809242,1.82158232,1.81196730
Cerro Gordo County,2001,1.00312014,0.98615303,1.82233059,1.80541738
Craven County,2001,0.97915044,0.97763280,1.82486938,1.81213954
Citrus County,2001,1.01935743,0.98136502,1.82732016,1.81953128
Garrett County,2001,0.97181867,0.96372438,1.82847134,1.82834984
Osage County,2001,1.00152548,0.98790489,1.82863721,1.81546255
Washburn County,2001,1.01264598,0.97396347,1.82879953,1.80419435
Gentry County,2001,1.00170036,0.99227774,1.82889378,1.79298531
Boulder County,2001,1.00734408,0.98445512,1.82967923,1.81276246
Jim Wells County,2001,0.99474735,0.96137818,1.82996786,1.81717883
Champaign County,2001,1.00491768,0.97849430,1.83082263,1.82778128
Pittsburg County,2001,0.98940483,0.98050339,1.83221168,1.82022358
Calvert County,2001,0.99573308,0.98759713,1.83240514,1.82370091
Oakland County,2001,0.99166113,0.96732676,1.83272288,1.79619369
Davidson County,2001,0.99875958,0.98362130,1.83276265,1.82717110
Cook County,2001,1.00084809,0.99565593,1.83285798,1.82367576
Middlesex County,2001,0.98309638,0.97691573,1.83359760,1.82559472
Jasper County,2001,0.99787003,0.98331751,1.83364143,1.82796476
Lassen County,2001,1.00057772,0.98901920,1.83463560,1.81201712
Sierra County,2001,1.01790925,0.98296223,1.83548168,1.83317115
Montague County,2001,1.00297174,0.99754394,1.83575893,1.82019883
Nolan County,2001,0.99422397,0.99053389,1.83748442,1.82149617
LaMoure County,2001,1.02541391,0.98215818,1.83750955,1.80582793
Nemaha County,2001,0.99134187,0.98509629,1.83792144,1.81776447
Shannon County,2001,1.00289956,1.00287234,1.83799816,1.81263929
Barnwell County,2001,1.04529129,1.01008827,1.83808553,1.82840803
McCulloch County,2001,1.00381974,1.00125741,1.83948664,1.81296160
Leake County,2001,1.00279191,0.97799594,1.84117972,1.83680521
Emporia city,2001,1.01247002,0.99445349,1.84162938,1.82631989
Orleans Parish,2001,1.00676623,0.97376659,1.84175005,1.83641902
Forsyth County,2001,1.00824133,0.98966818,1.84200629,1.83698967
Anchorage Borough,2001,1.01073053,1.00484813,1.84204203,1.82433976
Washakie County,2001,0.98425422,0.96194121,1.84212922,1.83915857
Miner County,2001,1.00115597,0.98722563,1.84250216,1.82709085
Schoolcraft County,2001,1.00474469,1.00161511,1.84282808,1.81142749
Kewaunee County,2001,1.01215498,0.97812667,1.84314993,1.81692549
Iron County,2001,0.98141502,0.97212412,1.84325724,1.83626427
Benzie County,2001,1.01344981,1.01222512,1.84363886,1.84191200
Asotin County,2001,1.00441436,0.99807657,1.84375976,1.83964150
Vinton County,2001,1.01436948,1.00648764,1.84387799,1.79996513
McNairy County,2001,0.98896473,0.97103923,1.84400522,1.81556767
Crane County,2001,0.97978812,0.96886789,1.84444509,1.84189776
Irwin County,2001,0.97555436,0.97437297,1.84451098,1.80218326
Paulding County,2001,0.98492548,0.96912624,1.84460062,1.82430442
Unicoi County,2001,1.01124786,0.99160456,1.84507439,1.81688819
Cotton County,2001,1.04557059,0.98254255,1.84552173,1.82220961
Amite County,2001,0.99168988,0.98455453,1.84556763,1.83055213
San Augustine County,2001,0.99531889,0.98312880,1.84582403,1.83344487
Sanders County,2001,1.01240123,0.99796167,1.84586104,1.81548039
Yates County,2001,0.99665280,0.98209973,1.84632977,1.82239650
Surry County,2001,0.99033583,0.98698919,1.84674021,1.83594709
McKean County,2001,1.02668839,0.97730499,1.84683099,1.84538640
Greer County,2001,0.99580743,0.97478286,1.84690501,1.80189136
Grand County,2001,1.00660766,0.98457902,1.84709274,1.83264720
Dooly County,2001,0.98202509,0.97801615,1.84750712,1.83074079
Todd County,2001,0.97417263,0.97052200,1.84763225,1.83484286
Outagamie County,2001,0.99615604,0.95339264,1.84785630,1.82280639
Elmore County,2001,1.00023741,0.98991254,1.84838872,1.83130250
Seneca County,2001,1.00329118,0.97794881,1.84848840,1.82823198
Stafford County,2001,0.99851818,0.99518373,1.84863570,1.83178024
Banner County,2001,0.98982477,0.98493261,1.84886691,1.77145523
Isanti County,2001,1.01030949,0.99052254,1.84912651,1.82300863
Webb County,2001,0.99008982,0.97048229,1.84930943,1.82710602
McPherson County,2001,0.99181868,0.98531333,1.84951238,1.83602355
Sully County,2001,1.01530359,0.99191530,1.84952419,1.81590795
Jim Hogg County,2001,1.02114896,1.00674907,1.85053527,1.81157878
Val Verde County,2001,1.01251674,0.96866967,1.85058660,1.83912161
Bay County,2001,0.99814961,0.98120973,1.85079384,1.83737760
Allegheny County,2001,0.99414040,0.97363491,1.85079825,1.83934557
Maries County,2001,0.99781176,0.95188256,1.85091600,1.84105301
Sumter County,2001,0.99316696,0.98010760,1.85101596,1.84838883
Howell County,2001,0.98746556,0.97829786,1.85115060,1.83537356
Muhlenberg County,2001,0.98517264,0.96284484,1.85124397,1.81644931
Meigs County,2001,0.98900154,0.98685858,1.85153879,1.84717335
Susquehanna County,2001,0.99550069,0.99165533,1.85159947,1.81253346
Bailey County,2001,0.97686478,0.96712127,1.85162385,1.80793708
Rankin County,2001,0.97254323,0.96125298,1.85192778,1.82423002
Madison County,2001,0.98825189,0.97787419,1.85212608,1.84917678
Love County,2001,0.98828339,0.96420353,1.85221139,1.81590639
Buffalo County,2001,1.00527612,0.99512946,1.85227059,1.84010173
Ohio County,2001,0.98084126,0.97375243,1.85230815,1.84628380
Wahkiakum County,2001,0.99607349,0.98006794,1.85242688,1.83594279
Owen County,2001,0.99968087,0.98897004,1.85285868,1.84791498
Fulton County,2001,0.98866857,0.98295011,1.85295497,1.83389425
Sonoma County,2001,0.97993189,0.96023528,1.85305238,1.82476551
Divide County,2001,0.97190046,0.97065663,1.85308480,1.84942270
Wheatland County,2001,0.97501028,0.97388484,1.85315035,1.85030664
Eastland County,2001,0.98613854,0.95686074,1.85328705,1.82981314
Grant County,2001,0.98086302,0.98066184,1.85359051,1.85301811
Magoffin County,2001,0.98240964,0.98034872,1.85368708,1.84127823
Morrow County,2001,0.99318628,0.98076454,1.85377184,1.82121450
Baker County,2001,1.00641719,0.97569195,1.85457929,1.85186484
Niagara County,2001,1.00869445,0.97389375,1.85513167,1.83135852
Winston County,2001,0.98689771,0.98574630,1.85513354,1.82883751
Dent County,2001,0.99734007,0.99713366,1.85542820,1.85024513
Ouray County,2001,0.97515476,0.96982792,1.85560518,1.84194352
Mono County,2001,0.98169075,0.96177914,1.85585912,1.82859880
Kimble County,2001,0.99031687,0.98416749,1.85614901,1.83404026
Volusia County,2001,0.99026859,0.96672101,1.85621358,1.83918956
Chowan County,2001,1.02584330,0.98186146,1.85621789,1.82515357
Highland County,2001,0.99170487,0.94973347,1.85635768,1.85340560
Berrien County,2001,0.99669019,0.94789810,1.85641025,1.81087472
Fairfield County,2001,0.98639496,0.98240582,1.85651126,1.83590090
Perkins County,2001,0.99030825,0.97605987,1.85659006,1.84531401
San Francisco County,2001,1.03091961,1.02778662,1.85663427,1.85469703
Spartanburg County,2001,0.99421475,0.97405285,1.85676253,1.83504081
Harper County,2001,0.97274768,0.95682155,1.85680503,1.84885630
Union County,2001,0.99127299,0.98794729,1.85725661,1.85018266
Glenn County,2001,0.97749755,0.96142985,1.85756985,1.80844334
Franklin County,2001,0.98609406,0.98525171,1.85766166,1.85142056
Tyrrell County,2001,1.00667759,0.97347767,1.85817017,1.83013175
Matagorda County,2001,1.01803860,0.98822618,1.85817290,1.84678514
Colorado County,2001,0.98514286,0.97440065,1.85823404,1.85792154
Tangipahoa Parish,2001,0.99609208,0.97616785,1.85824288,1.83086630
Caribou County,2001,0.99932804,0.98633089,1.85856060,1.81341719
Burt County,2001,1.00754697,0.97611467,1.85870989,1.84047596
Kingsbury County,2001,0.98858538,0.95271665,1.85882008,1.84980792
Stanislaus County,2001,1.00329493,0.97186413,1.85886247,1.84651475
Colusa County,2001,1.02487504,0.96729137,1.85887489,1.84744687
Aiken County,2001,0.98978248,0.96708188,1.85922903,1.83215146
Owyhee County,2001,1.00708238,0.98919485,1.85944242,1.83806804
Charles County,2001,1.00175500,0.99494304,1.85945541,1.85373495
Boone County,2001,0.98611604,0.98498382,1.85967945,1.84740848
Knox County,2001,0.98825169,0.98201126,1.85970571,1.85396967
Dorchester County,2001,1.00942823,0.98451671,1.85970683,1.84772286
Stoddard County,2001,0.98597646,0.97996513,1.85994389,1.85198799
King and Queen County,2001,0.99258002,0.98342642,1.86082008,1.84737519
Dundy County,2001,0.99458724,0.97766508,1.86086273,1.83974738
Harrison County,2001,0.98783874,0.98376556,1.86117366,1.85431502
Garfield County,2001,0.98031500,0.97811146,1.86122178,1.83746085
Hall County,2001,0.97838420,0.97834761,1.86137107,1.83289346
Jo Daviess County,2001,0.99526949,0.98385953,1.86163436,1.83444266
Cole County,2001,0.97477855,0.96406519,1.86171956,1.84862475
Wood County,2001,0.97873503,0.97246911,1.86191813,1.85352023
Mitchell County,2001,0.98123420,0.98052308,1.86314962,1.85617383
Payne County,2001,1.01100125,0.95075930,1.86319152,1.85979034
Real County,2001,0.98394590,0.98159978,1.86339166,1.84951395
Perry County,2001,0.97862032,0.97838238,1.86366728,1.86006186
Caldwell Parish,2001,1.02151657,0.96717244,1.86379615,1.84610791
Izard County,2001,1.01564684,1.01464581,1.86392403,1.81941097
Potter County,2001,0.98787872,0.97371396,1.86445597,1.85596133
Hays County,2001,0.99755089,0.97521983,1.86451923,1.84973105
Wadena County,2001,0.99665218,0.97740217,1.86460211,1.85957236
Johnson County,2001,0.98129629,0.97939349,1.86469584,1.86455711
Freeborn County,2001,0.99007242,0.97152450,1.86472509,1.81560643
New Castle County,2001,0.95263186,0.94828917,1.86493456,1.86481099
Crook County,2001,0.98622058,0.98059255,1.86535146,1.84973904
Dallas County,2001,0.98489324,0.97485055,1.86550896,1.84910325
Reynolds County,2001,0.97916979,0.97468427,1.86558830,1.85771076
Schleicher County,2001,1.01886270,1.00594929,1.86569341,1.83918054
Franklin Parish,2001,0.97555436,0.96607658,1.86589355,1.83871908
Sanborn County,2001,0.98056366,0.97326874,1.86597629,1.81691579
Adair County,2001,0.99123264,0.97870572,1.86609542,1.86046976
Salt Lake County,2001,1.01420508,0.95742360,1.86625234,1.86321111
Morgan County,2001,0.98351675,0.98112718,1.86650932,1.85969296
Terry County,2001,0.99661044,0.98630821,1.86679882,1.85753699
Daniels County,2001,0.98487304,0.96643329,1.86690589,1.83088834
Schuyler County,2001,0.96895133,0.96701337,1.86699071,1.86372776
Cumberland County,2001,0.98426876,0.98094656,1.86708761,1.84625485
Houghton County,2001,1.01082662,1.00599428,1.86717076,1.83510418
Deschutes County,2001,0.98884640,0.97549106,1.86746419,1.86308329
Deaf Smith County,2001,0.96721481,0.95160883,1.86755332,1.84503650
Chattahoochee County,2001,0.98493934,0.98158898,1.86764424,1.83551226
Hardeman County,2001,0.98314152,0.97515203,1.86766577,1.86549503
Richardson County,2001,0.99285609,0.95380856,1.86801380,1.83842842
Portage County,2001,0.98649547,0.96674369,1.86808081,1.86130937
Hendry County,2001,0.99173514,0.98326560,1.86820868,1.86465248
Atchison County,2001,0.98822734,0.97411032,1.86827293,1.86136585
Dillon County,2001,0.98474243,0.97828652,1.86828255,1.82844630
Charleston County,2001,1.01115986,0.98405015,1.86845041,1.82195897
Hutchinson County,2001,0.97800410,0.95743096,1.86848124,1.86010276
Tuscarawas County,2001,0.99724265,0.97727913,1.86915485,1.85660266
Brazos County,2001,0.96571545,0.96393418,1.86928361,1.86322989
Delta County,2001,0.98534635,0.97837838,1.86945957,1.85350959
Jenkins County,2001,0.98471414,0.97867741,1.87005081,1.85632336
Queen Anne County,2001,0.99867593,0.96671187,1.87017113,1.86043079
Modoc County,2001,0.97983882,0.97667523,1.87019432,1.86737108
Cache County,2001,0.98137883,0.95458795,1.87029504,1.86412248
Shawnee County,2001,0.97814089,0.97158520,1.87040003,1.81091898
Glascock County,2001,1.00679987,0.99139817,1.87073904,1.85965133
Ottawa County,2001,0.99057541,0.98596079,1.87076928,1.84216258
Burleigh County,2001,0.96499767,0.95954570,1.87083264,1.83446069
Milam County,2001,0.98624834,0.98413773,1.87105460,1.84484883
Yellowstone County,2001,0.98854566,0.98651260,1.87111792,1.86792759
Grant Parish,2001,0.98344709,0.96242256,1.87158209,1.79231200
Le Flore County,2001,1.00061091,0.99623496,1.87171522,1.75059738
Swift County,2001,0.97020874,0.96867960,1.87194387,1.86801342
Piscataquis County,2001,0.97991720,0.96435114,1.87213540,1.86437868
Russell County,2001,0.98986258,0.97938403,1.87221991,1.84733714
Clallam County,2001,0.99028606,0.97014246,1.87236604,1.83366126
Hudspeth County,2001,1.00627706,0.97669229,1.87249893,1.84402690
Trumbull County,2001,0.98154592,0.97511974,1.87256001,1.84990723
Oconto County,2001,1.01201672,1.00148111,1.87279049,1.83235788
Frontier County,2001,1.01000625,0.98271782,1.87286541,1.84066044
Reeves County,2001,0.98847209,0.97379623,1.87346264,1.84047118
Tioga County,2001,0.99059128,0.97567728,1.87391526,1.81662512
Grand Isle County,2001,0.97978908,0.96611952,1.87391853,1.86297957
Lycoming County,2001,0.97995898,0.96750302,1.87434864,1.85162075
Williamson County,2001,0.99555597,0.96198986,1.87435173,1.86877264
Levy County,2001,0.97505520,0.95131033,1.87452989,1.86123065
Fredericksburg city,2001,1.00632564,0.97971618,1.87476154,1.81871191
Fauquier County,2001,0.97183093,0.96407751,1.87480544,1.85204748
Wallace County,2001,1.00007793,0.98108838,1.87530739,1.84103826
Crenshaw County,2001,0.99493935,0.98309695,1.87569612,1.85573246
Hinsdale County,2001,1.00852518,1.00196318,1.87572058,1.85467273
Davis County,2001,0.98555714,0.98276085,1.87614258,1.84441346
Tarrant County,2001,0.96564196,0.96495556,1.87625741,1.85789449
McClain County,2001,1.00408527,0.93933573,1.87646754,1.86773960
Fall River County,2001,0.99224798,0.96335095,1.87719406,1.86514109
Hart County,2001,1.00191951,0.96873790,1.87732270,1.87129979
Mahoning County,2001,0.98472078,0.96987980,1.87741243,1.84780580
Dyer County,2001,0.99937444,0.94248885,1.87776211,1.87676959
Wythe County,2001,0.97177839,0.95991770,1.87790176,1.84051801
Lonoke County,2001,0.96773024,0.95656809,1.87791840,1.83220332
Ashley County,2001,0.99269761,0.97784414,1.87797990,1.83577119
Nance County,2001,0.98771196,0.96621322,1.87853516,1.86372301
De Kalb County,2001,0.98622589,0.96704054,1.87977891,1.85482669
Kittitas County,2001,1.00716721,0.99787143,1.88009085,1.80338649
Bossier Parish,2001,1.00534277,0.97847071,1.88078252,1.86076253
Oswego County,2001,0.98912736,0.95969706,1.88103908,1.86255510
Callahan County,2001,0.99518319,0.99078761,1.88264733,1.85430879
Passaic County,2001,0.95075517,0.91710518,1.88267349,1.86621907
Iberia Parish,2001,1.00356697,0.96380499,1.88284530,1.86959626
Lac qui Parle County,2001,0.99798212,0.95473100,1.88297034,1.84019607
Barrow County,2001,0.96140946,0.95602821,1.88318906,1.87463722
Wagoner County,2001,0.96986598,0.95120824,1.88348265,1.84476999
Lexington County,2001,0.97988449,0.96854788,1.88355695,1.81942306
Ozaukee County,2001,0.97416365,0.97103691,1.88387927,1.86777090
Pettis County,2001,0.99759798,0.98499393,1.88420222,1.82030060
Shiawassee County,2001,1.00385696,0.99740522,1.88432023,1.79453090
Ramsey County,2001,0.99518714,0.98635041,1.88446282,1.81025755
Jersey County,2001,0.96541908,0.95811154,1.88553452,1.86875975
Roane County,2001,0.98385221,0.97565212,1.88628905,1.85691968
Tate County,2001,0.98690773,0.97234995,1.88664221,1.86828814
Goodhue County,2001,0.98424662,0.96381711,1.88671996,1.85954570
Poquoson city,2001,1.01314157,0.99641569,1.88718125,1.83632339
Monterey County,2001,0.96322572,0.95258117,1.88720331,1.87915991
Weston County,2001,1.01998459,0.98426948,1.88770342,1.85370815
Jefferson Davis Parish,2001,0.97349197,0.96729723,1.88785929,1.87941396
Dillingham Census Area,2001,0.98945007,0.97152469,1.88786319,1.87013975
Yalobusha County,2001,0.98204180,0.97854396,1.88791618,1.79018386
Hampden County,2001,1.00260543,0.97085818,1.88922279,1.81938425
Bosque County,2001,0.99044785,0.97824617,1.89023502,1.80248091
Forrest County,2001,1.01032928,0.99871886,1.89042725,1.84726283
Kosciusko County,2001,0.97699127,0.97268499,1.89074165,1.87895812
Dubois County,2001,0.99072066,0.98296104,1.89136868,1.85459272
Covington city,2001,0.96624441,0.96086781,1.89147348,1.87631333
Kenai Peninsula Borough,2001,0.96586926,0.94428307,1.89224338,1.86842553
Switzerland County,2001,0.97487802,0.96548341,1.89228583,1.85871299
Harney County,2001,0.99885792,0.99381751,1.89266509,1.88476518
Suffolk County,2001,0.98141622,0.96693047,1.89273727,1.87182101
Pasco County,2001,0.98642855,0.96759692,1.89414690,1.87440144
Glades County,2001,0.97602912,0.96011682,1.89500139,1.86426763
Bullitt County,2001,0.96913390,0.96352124,1.89518561,1.87509590
Hernando County,2001,0.97917213,0.94062923,1.89564950,1.89341112
Venango County,2001,0.97971181,0.97523633,1.89632556,1.88432963
Danville city,2001,0.96827612,0.96822969,1.89708112,1.86519152
Drew County,2001,0.97404262,0.94558007,1.89731486,1.88515159
Berkeley County,2001,0.98761259,0.97947672,1.89770514,1.88043924
Hitchcock County,2001,0.98596892,0.98448958,1.89896359,1.85660970
Multnomah County,2001,0.98253232,0.97644417,1.89980413,1.81667813
Baca County,2001,0.97570106,0.96117338,1.89981891,1.89242861
Prince William County,2001,0.99924040,0.98051933,1.90233561,1.85764595
Yoakum County,2001,0.95097523,0.95002820,1.90274026,1.88673993
Cullman County,2001,0.99459149,0.98833118,1.90463930,1.86311897
Mathews County,2001,0.98061168,0.95101788,1.90533885,1.86298986
De Witt County,2001,0.97053672,0.96738201,1.90543072,1.86389055
Bledsoe County,2001,0.97862312,0.96000050,1.90546150,1.88901705
Cocke County,2001,1.02189512,0.98385478,1.90586081,1.88338910
Umatilla County,2001,0.95359276,0.94089402,1.90894184,1.89669011
Washita County,2001,0.98421865,0.96796913,1.91105653,1.88240071
Gonzales County,2001,0.97754630,0.96027457,1.91438526,1.84483311
Cochran County,2001,0.99575096,0.98619258,1.91700445,1.85388354
Gwinnett County,2001,0.97893455,0.97796699,1.91916488,1.84486260
Converse County,2001,0.96648311,0.95650373,1.92049482,1.90400234
Bamberg County,2001,0.98443607,0.97927215,1.92620310,1.87798723
Mora County,2001,0.96807832,0.95770227,1.94086514,1.91538407